ID,Difficulty,Question,A,B,C,D,E,Type,Group
1, Easy,What is an Automation Studio activity? (Choose 3) , A/B Test Send Activity ,Transfer File Activity  ,Wait Activity  ,Triggered Send   (Your Answer),Send Email  ,CHECKBOX,Marketing Cloud
2, Easy,"A national landscape company wants to send targeted emails to customers to remind them of their upcoming lawn treatment. Depending on the service, clients will receive either one or two emails. The data for the campaign is in two separate data extensions. Customer Number is a Primary Key field in both data extensions. Which tool can be used to segment the data? (Choose 2)",Filters ,Data Extract Activity ,Send Definition ,Query Activity , ,CHECKBOX,Marketing Cloud
3, Easy,What is a personalization string?,A snippet of text that inserts subscriber attributes into an email  ,The snippet of text at the top of the email that is visible before an email has been opened ,A content area that will display based on a subscriber attribute ,An automated way of scraping a website for content to populate inside of an email , ,CHOICE,Marketing Cloud
4, Easy,A marketer at Northern Trail Outfitters is teaching new associates the essentials of designing emails for the company's subscribers. What is a key component of optimized email design? (Choose 2),Included personalization and dynamic content ,Segment the email's target audience ,Ensure the email renders well in mobile apps ,Include an unsubscribe button , ,CHECKBOX,Marketing Cloud
5, Easy,What is a Master Unsubscribe?,When a subscriber unsubscribes from a Publication list via an email unsubscribe link ,When a subscriber unsubscribes from a list in the Subscription Center ,When a subscriber unsubscribes from all emails sent from the Salesforce Marketing Cloud ,When a subscriber unsubscribes from all emails sent from an account  , ,CHOICE,Marketing Cloud
6, Hard,"When using a mobile-optimized template, what causes the mobile layout to display?",The screen size of the device that is used to view the email ,The specific device that is used to view the email ,A subscriber attribute that dictates a mobile layout preference ,The email client detection tracking pixel  , ,CHOICE,Marketing Cloud
7, Easy,A marketer wants to ensure that emails follow the basic brand guidelines. Which feature helps ensure emails have the correct layout and logos?,Email templates  ,Preference Management ,Portfolio ,Data Extensions , ,CHOICE,Marketing Cloud
8, Easy,A customer would like to automate a weekly email campaign using Automation Studio. Which send method would the customer use to configure the email?,Send Email Activity  ,Send Preview ,User-Initiated ,Test Send , ,CHOICE,Marketing Cloud
9, Easy,"Using measures, what data can a marketer use to segment an audience?",Open Data  ,First Name Attributes ,Geographical Data ,Gender Data , ,CHOICE,Marketing Cloud
10, Easy,What can be used to join two data extensions to segment via Filters?,Subscriber Key ,Subscriber ID ,Data Relationship  ,Send Relationship , ,CHOICE,Marketing Cloud
